Name,YAML,Components Table,Data Directory,Date,Shape Error,Merged Trees,Model,Binning,Half-life at 10 years
Version 1,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_config.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_third_pass/ComponentsTable_D-023_merged-v5_final_cuts.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version1/,2020/10/19,[0/100],Version 5,D-023,Version 0,4.63e+27
Version 2,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_config.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_third_pass/ComponentsTable_D-023_merged-v5_final_cuts.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version2/,2020/10/20,[-100/100],Version 5,D-023,Version 0,3.98e+27
Version 3,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_config.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_third_pass/ComponentsTable_D-023_merged-v5_final_cuts.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version3/,2020/10/20,Off,Version 5,D-023,Version 0,4.85e+27
Version 4,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_config.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_third_pass/ComponentsTable_D-023_merged-v5_final_cuts.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version4/,2020/10/21,Off,Version 8,D-023,Version 0,4.87e+27
Version 5,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_Optimized_DNN_Standoff_Binning_version1.yaml,/p/vast1/nexo/sensitivity2020/pdfs/component_tables/ComponentsTable_D-023_Optimized_DNN_Standoff_Binning_version1.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version5/,2020/10/28,Off,Version 8,D-023,Version 1,5.46e+27
Version 6,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_Optimized_DNN_Standoff_Binning_version2.yaml,/p/vast1/nexo/sensitivity2020/pdfs/component_tables/ComponentsTable_D-023_Optimized_DNN_Standoff_Binning_version2.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version6/,2020/10/29,Off,Version 8,D-023,Version 2,5.21e+27
Version 7,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_Optimized_DNN_Standoff_Binning_version2.yaml,/p/vast1/nexo/sensitivity2020/pdfs/component_tables/ComponentsTable_D-023_Optimized_DNN_Standoff_Binning_version2.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version7/,2020/10/30,[-100/100],Version 8,D-023,Version 2,4.07e+27
Version 8,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_Optimized_DNN_Standoff_Binning_version2.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_fourth_pass/ComponentsTable_D-023_merged-v8_BinaryClassifier.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version8/,2020/11/04,Off,Version 8,D-023,"0.85, Binary",4.57e+27
Version 9,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_config.yaml,/usr/workspace/wsa/nexo/lenardo1/baseline2019_third_pass/ComponentsTable_D-023_merged-v5_final_cuts.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version9/,2020/11/05,[-100/100],Version 8,D-023,Version 0,
Version 10,/p/lustre1/jamil1/sensitivity/work/config/Sensitivity2020_Optimized_DNN_Standoff_Binning_version1.yaml,/p/vast1/nexo/sensitivity2020/pdfs/component_tables/ComponentsTable_D-024_Optimized_DNN_Standoff_Binning_version1.h5,/p/vast1/nexo/sensitivity2020/data/DiscoveryPotential/version10/,2020/11/05,Off,Version 8,D-024,Version 1,6.23e+27
