Reflectivity,VUV4 Er - PTE,VUV4 Er - Error,VUV4 UA - PTE,VUV4 UA - Error,FBK Er - PTE,FBK Er - Error
0,16.532,0.101,17.514,0.110,17.795,0.107
10,17.837,0.101,18.985,0.109,18.973,0.107
20,19.055,0.104,20.361,0.113,20.214,0.111
30,20.750,0.106,21.799,0.116,21.782,0.113
40,22.502,0.110,23.390,0.123,23.393,0.118
50,24.237,0.119,25.719,0.124,25.673,0.120
60,26.483,0.136,28.082,0.135,27.757,0.132
70,29.431,0.140,30.847,0.149,30.536,0.142
80,32.422,0.174,34.093,0.171,33.700,0.176
90,36.502,0.202,37.693,0.213,37.658,0.197
100,41.722,0.244,42.649,0.258,42.534,0.253
