,site,method,cap_vol,cap_e_min,cap_e_max,Xe137_tag_eff,mean,counts,bins,n_absorber_factor,mean_xe137_spec_activ,Xe137_scaling,total_bkg_in_roi,Xe137_num_counts_in_roi,Xe137_bkg_fraction,sens,dp,mbb_sens_min,mbb_sens_max,mbb_sens_median,mbb_dp_min,mbb_dp_max,mbb_dp_median
0,SNOLAB,LightOnly,All LXe, 0 ,  4600 ,0.9683094700000003,4.0475,"[9.0, 29.0, 60.0, 0.0, 83.0, 68.0, 65.0, 0.0, 37.0, 22.0, 12.0, 0.0, 8.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.75, 1.5, 2.25, 3.0, 3.75, 4.5, 5.25, 6.0, 6.75, 7.5, 8.25, 9.0, 9.75, 10.5, 11.25, 12.0, 12.75, 13.5, 14.25, 15.0]",1,2.6214334774159964e-09,0.09763994190981098,5.404144546359897,0.029971988932124823,0.5,1.4048230105470991,0.8102178222403389,4.64093526992396,19.943478592375932,8.049913177286287,6.11104414738582,26.26097349822555,10.599883848374676
1,SNOLAB,LightOnly,All LXe, 400 ,  4600 ,0.9317571100000003,5.9825,"[2.0, 7.0, 20.0, 0.0, 46.0, 45.0, 61.0, 0.0, 58.0, 55.0, 29.0, 0.0, 36.0, 24.0, 13.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[0.0, 0.75, 1.5, 2.25, 3.0, 3.75, 4.5, 5.25, 6.0, 6.75, 7.5, 8.25, 9.0, 9.75, 10.5, 11.25, 12.0, 12.75, 13.5, 14.25, 15.0]",1,3.874669741480221e-09,0.14431895058071503,5.411112310116099,0.03693975268832506,0.6,1.396598345611107,0.7976447248073572,4.6545806053639005,20.002116655482702,8.073581631849382,6.159019349807679,26.46713720593029,10.68309901766641
2,SNOLAB,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,13.0275,"[11.0, 11.0, 15.0, 26.0, 26.0, 46.0, 45.0, 52.0, 38.0, 37.0, 52.0, 19.0, 6.0, 7.0, 4.0, 2.0, 0.0, 2.0, 0.0, 1.0]","[5.0, 6.1, 7.2, 8.3, 9.4, 10.5, 11.6, 12.7, 13.8, 14.9, 16.0, 17.1, 18.2, 19.3, 20.4, 21.5, 22.6, 23.7, 24.8, 25.9, 27.0]",1,8.43748601038589e-09,0.31426913977271465,5.436480731647058,0.062308174219284605,1.1,1.3776393343511446,0.7717263664588723,4.686499230588712,20.13928047739473,8.12894593814842,6.2615902992683585,26.90791506982889,10.861012991821843
3,SNOLAB,LightOnly,All LXe, 1800 ,  4600 ,0.7790612100000002,15.2575,"[7.0, 9.0, 11.0, 25.0, 24.0, 23.0, 39.0, 42.0, 41.0, 29.0, 66.0, 29.0, 16.0, 11.0, 10.0, 4.0, 4.0, 3.0, 2.0, 5.0]","[6.0, 7.1, 8.2, 9.3, 10.4, 11.5, 12.6, 13.7, 14.8, 15.9, 17.0, 18.1, 19.2, 20.3, 21.4, 22.5, 23.6, 24.7, 25.8, 26.9, 28.0]",1,9.881784133829417e-09,0.36806458645804596,5.444510764296323,0.07033820686854976,1.2,1.3686364952953247,0.7673954660072765,4.701887773020833,20.205409619197635,8.155638064476136,6.279234507213426,26.983737476944174,10.891617672512012
4,SNOLAB,LightOnly,All LXe, 2600 ,  4600 ,0.7032994200000001,21.2025,"[9.0, 5.0, 11.0, 11.0, 31.0, 24.0, 24.0, 27.0, 68.0, 36.0, 33.0, 34.0, 30.0, 15.0, 8.0, 13.0, 14.0, 5.0, 0.0, 2.0]","[10.0, 11.25, 12.5, 13.75, 15.0, 16.25, 17.5, 18.75, 20.0, 21.25, 22.5, 23.75, 25.0, 26.25, 27.5, 28.75, 30.0, 31.25, 32.5, 33.75, 35.0]",1,1.3732166350812268e-08,0.5114789050877744,5.465918183175182,0.09174562574740776,1.6,1.3498883768116845,0.7583765071761863,4.73442660416937,20.34523865034945,8.212078146141053,6.316461911367833,27.143714700202306,10.956190297172567
5,SNOLAB,LightOnly,All LXe, 400 ,  9000 ,0.9387037400000002,5.375,"[2.0, 17.0, 25.0, 54.0, 0.0, 57.0, 72.0, 56.0, 41.0, 0.0, 29.0, 22.0, 12.0, 3.0, 0.0, 6.0, 3.0, 0.0, 0.0, 1.0]","[0.0, 0.8, 1.6, 2.4, 3.2, 4.0, 4.8, 5.6, 6.4, 7.2, 8.0, 8.8, 9.6, 10.4, 11.2, 12.0, 12.8, 13.6, 14.4, 15.2, 16.0]",1,3.481211844622848e-09,0.1296639129747335,5.408924756378687,0.034752198950912756,0.6,1.3989852451207965,0.8012510550950966,4.650608169224788,19.98504591639841,8.066691260800813,6.14514323255885,26.40750740477992,10.659030261565714
6,SNOLAB,LightOnly,All LXe, 1400 ,  9000 ,0.8208411400000002,11.665,"[2.0, 4.0, 8.0, 6.0, 21.0, 34.0, 35.0, 39.0, 56.0, 49.0, 34.0, 35.0, 25.0, 12.0, 16.0, 6.0, 6.0, 7.0, 4.0, 1.0]","[3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0]",1,7.555039286981492e-09,0.28140084555353795,5.431574489725708,0.057401932297934465,1.0,1.381713557975653,0.7751555247977211,4.6795846490729485,20.1095664649351,8.11695228221017,6.247724833764598,26.848331042393806,10.836962711657138
7,LNGS,LightOnly,All LXe, 0 ,  4600 ,0.9683094700000003,377.71,"[1.0, 0.0, 4.0, 2.0, 1.0, 2.0, 9.0, 9.0, 12.0, 7.0, 13.0, 5.0, 13.0, 10.0, 5.0, 3.0, 0.0, 1.0, 2.0, 1.0]","[319.0, 324.8, 330.6, 336.4, 342.2, 348.0, 353.8, 359.6, 365.4, 371.2, 377.0, 382.8, 388.6, 394.4, 400.2, 406.0, 411.8, 417.6, 423.4, 429.2, 435.0]",1,2.4463042341069693e-07,9.111694245523088,6.749670140442642,1.3754975830148684,20.3,1.0750729413969369,0.5784220175258483,5.305146136933844,22.797790156013004,9.202017117517975,7.2325910433347,31.08059394297884,12.545257918802369
8,LNGS,LightOnly,All LXe, 400 ,  4600 ,0.9317571100000003,553.1,"[2.0, 1.0, 2.0, 3.0, 6.0, 5.0, 6.0, 14.0, 5.0, 8.0, 10.0, 6.0, 10.0, 8.0, 3.0, 5.0, 3.0, 1.0, 1.0, 1.0]","[496.0, 501.9, 507.8, 513.7, 519.6, 525.5, 531.4, 537.3, 543.2, 549.1, 555.0, 560.9, 566.8, 572.7, 578.6, 584.5, 590.4, 596.3, 602.2, 608.1, 614.0]",1,3.582247946531902e-07,13.342718189083742,7.3812340087628225,2.0070614513350473,27.1,1.0021090340252268,0.5373112342003636,5.494887794081247,23.613166466457248,9.531132646460925,7.5041819689182745,32.24770089345961,13.016344724269151
9,LNGS,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,1193.24,"[1.0, 1.0, 1.0, 5.0, 2.0, 7.0, 3.0, 6.0, 15.0, 6.0, 13.0, 4.0, 11.0, 10.0, 7.0, 3.0, 2.0, 0.0, 2.0, 1.0]","[1109.0, 1117.35, 1125.7, 1134.05, 1142.4, 1150.75, 1159.1, 1167.45, 1175.8, 1184.15, 1192.5, 1200.85, 1209.2, 1217.55, 1225.9, 1234.25, 1242.6, 1250.95, 1259.3, 1267.65, 1276.0]",1,7.728225528330731e-07,28.785147445203915,9.686321497596046,4.312148940168273,44.5,0.8437609939292311,0.450157032365681,5.98834199364882,25.733685864598982,10.387051385347226,8.198498048808842,35.231383507043404,14.220667524661156
10,LNGS,LightOnly,All LXe, 1800 ,  4600 ,0.7790612100000002,1414.62,"[4.0, 1.0, 1.0, 3.0, 5.0, 3.0, 11.0, 5.0, 12.0, 10.0, 11.0, 14.0, 8.0, 3.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]","[1323.0, 1332.95, 1342.9, 1352.85, 1362.8, 1372.75, 1382.7, 1392.65, 1402.6, 1412.55, 1422.5, 1432.45, 1442.4, 1452.35, 1462.3, 1472.25, 1482.2, 1492.15, 1502.1, 1512.05, 1522.0]",1,9.162031441191392e-07,34.12561201345442,10.48349128588974,5.109318728461967,48.7,0.8087116601104171,0.43086600285900556,6.116732170801774,26.285416625877893,10.609749983536169,8.380022859073115,36.011449583584465,14.535530559192274
11,LNGS,LightOnly,All LXe, 2600 ,  4600 ,0.7032994200000001,1955.74,"[1.0, 4.0, 1.0, 0.0, 11.0, 7.0, 9.0, 8.0, 10.0, 10.0, 9.0, 8.0, 6.0, 7.0, 3.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[1845.0, 1857.3, 1869.6, 1881.9, 1894.2, 1906.5, 1918.8, 1931.1, 1943.4, 1955.7, 1968.0, 1980.3, 1992.6, 2004.9, 2017.2, 2029.5, 2041.8, 2054.1, 2066.4, 2078.7, 2091.0]",1,1.2666688842795703e-06,47.17933044859635,12.432016517803616,7.0578439603758385,56.7,0.7420048080969901,0.39415078718213314,6.385765371449652,27.441532271905253,11.076400298841758,8.761634214644161,37.65134703049788,15.197452801400964
12,LNGS,LightOnly,All LXe, 400 ,  9000 ,0.9387037400000002,497.77,"[1.0, 1.0, 2.0, 4.0, 6.0, 5.0, 7.0, 10.0, 9.0, 8.0, 11.0, 8.0, 11.0, 7.0, 5.0, 3.0, 0.0, 0.0, 1.0, 1.0]","[440.0, 446.1, 452.2, 458.3, 464.4, 470.5, 476.6, 482.7, 488.8, 494.9, 501.0, 507.1, 513.2, 519.3, 525.4, 531.5, 537.6, 543.7, 549.8, 555.9, 562.0]",1,3.2238936184147263e-07,12.00796389980151,7.181995575362085,1.8078230179343093,25.1,1.0238156764305513,0.549258493491985,5.436325217459253,23.36150566421679,9.429553195374778,7.422119227634689,31.89505289713285,12.87400316938817
13,LNGS,LightOnly,All LXe, 1400 ,  9000 ,0.8208411400000002,1078.22,"[2.0, 2.0, 3.0, 3.0, 3.0, 6.0, 3.0, 8.0, 5.0, 7.0, 13.0, 9.0, 6.0, 6.0, 9.0, 5.0, 2.0, 3.0, 4.0, 1.0]","[997.0, 1004.8, 1012.6, 1020.4, 1028.2, 1036.0, 1043.8, 1051.6, 1059.4, 1067.2, 1075.0, 1082.8, 1090.6, 1098.4, 1106.2, 1114.0, 1121.8, 1129.6, 1137.4, 1145.2, 1153.0]",1,6.983278576947437e-07,26.01046032513808,9.272144656646322,3.897972099218546,42.0,0.8646356367228485,0.4616463620104237,5.915612956786482,25.421147571055418,10.26089956504419,8.095834257393106,34.79020667366226,14.042592511914586
14,SURF,LightOnly,All LXe, 0 ,  4600 ,0.9683094700000003,61.9,"[1.0, 0.0, 2.0, 4.0, 5.0, 6.0, 5.0, 9.0, 4.0, 6.0, 7.0, 10.0, 7.0, 10.0, 4.0, 8.0, 4.0, 2.0, 4.0, 2.0]","[41.0, 42.95, 44.9, 46.85, 48.8, 50.75, 52.7, 54.65, 56.6, 58.55, 60.5, 62.45, 64.4, 66.35, 68.3, 70.25, 72.2, 74.15, 76.1, 78.05, 80.0]",1,4.009060710365661e-08,1.4932458070950707,5.612466279024221,0.23829372159644707,4.2,1.2844884763010949,0.7177372954223725,4.853457276362153,20.856748836258983,8.418542257544534,6.492822947381963,27.901590503614376,11.262096530549805
15,SURF,LightOnly,All LXe, 400 ,  4600 ,0.9317571100000003,95.86,"[3.0, 2.0, 4.0, 2.0, 6.0, 2.0, 10.0, 8.0, 8.0, 8.0, 11.0, 10.0, 3.0, 5.0, 5.0, 2.0, 2.0, 4.0, 0.0, 5.0]","[75.0, 77.15, 79.3, 81.45, 83.6, 85.75, 87.9, 90.05, 92.2, 94.35, 96.5, 98.65, 100.8, 102.95, 105.1, 107.25, 109.4, 111.55, 113.7, 115.85, 118.0]",1,6.208538928847372e-08,2.312480501908457,5.734753233629142,0.36058067620136824,6.2,1.254818230902981,0.6934525812136487,4.910502169849365,21.101887702866186,8.517489218247807,6.60553400548746,28.385943428986646,11.4575989840637
16,SURF,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,208.03,"[3.0, 1.0, 4.0, 2.0, 3.0, 8.0, 4.0, 3.0, 13.0, 3.0, 15.0, 12.0, 6.0, 8.0, 8.0, 2.0, 3.0, 1.0, 0.0, 1.0]","[170.0, 173.9, 177.8, 181.7, 185.6, 189.5, 193.4, 197.3, 201.2, 205.1, 209.0, 212.9, 216.8, 220.7, 224.6, 228.5, 232.4, 236.3, 240.2, 244.1, 248.0]",1,1.34734232565003e-07,5.018415593699314,6.138667476798461,0.764494919370687,12.4,1.1620944677673373,0.6324202805664423,5.102647885500122,21.92759496741944,8.850774695940212,6.916930674256952,29.72410749207717,11.997730660438423
17,SURF,LightOnly,All LXe, 1800 ,  4600 ,0.7790612100000002,246.58,"[1.0, 2.0, 0.0, 2.0, 5.0, 5.0, 8.0, 5.0, 13.0, 7.0, 15.0, 6.0, 9.0, 2.0, 8.0, 8.0, 1.0, 2.0, 0.0, 1.0]","[203.0, 207.35, 211.7, 216.05, 220.4, 224.75, 229.1, 233.45, 237.8, 242.15, 246.5, 250.85, 255.2, 259.55, 263.9, 268.25, 272.6, 276.95, 281.3, 285.65, 290.0]",1,1.5970180774829805e-07,5.948377239313451,6.277482615197123,0.9033100577693483,14.3,1.1372907752842332,0.6170291886499457,5.157990749452602,22.165419707107127,8.946769409050512,7.00266680737508,30.092541145206418,12.146443880428775
18,SURF,LightOnly,All LXe, 2600 ,  4600 ,0.7032994200000001,335.32,"[2.0, 2.0, 1.0, 4.0, 3.0, 6.0, 6.0, 9.0, 10.0, 9.0, 10.0, 2.0, 10.0, 7.0, 2.0, 4.0, 6.0, 4.0, 1.0, 2.0]","[291.0, 295.4, 299.8, 304.2, 308.6, 313.0, 317.4, 321.8, 326.2, 330.6, 335.0, 339.4, 343.8, 348.2, 352.6, 357.0, 361.4, 365.8, 370.2, 374.6, 379.0]",1,2.1717580571887132e-07,8.089098288127934,6.597027501876748,1.2228549444489738,18.5,1.0924411398864498,0.5891992652907986,5.262805184200494,22.615838494266985,9.12857481041322,7.166138852412264,30.79502912252837,12.42999357309327
19,SURF,LightOnly,All LXe, 400 ,  9000 ,0.9387037400000002,85.44,"[3.0, 1.0, 1.0, 6.0, 7.0, 6.0, 4.0, 4.0, 10.0, 11.0, 9.0, 10.0, 9.0, 4.0, 6.0, 3.0, 2.0, 0.0, 1.0, 3.0]","[64.0, 66.25, 68.5, 70.75, 73.0, 75.25, 77.5, 79.75, 82.0, 84.25, 86.5, 88.75, 91.0, 93.25, 95.5, 97.75, 100.0, 102.25, 104.5, 106.75, 109.0]",1,5.5336695814804865e-08,2.061113437127671,5.697231735779201,0.32305917835142706,5.6,1.262624658083424,0.6998420414464355,4.895298557152678,21.03655325911556,8.491117860952102,6.575311062395379,28.256066457320678,11.405175915500347
20,SURF,LightOnly,All LXe, 1400 ,  9000 ,0.8208411400000002,187.67,"[4.0, 1.0, 5.0, 3.0, 5.0, 5.0, 5.0, 11.0, 8.0, 6.0, 11.0, 6.0, 5.0, 10.0, 6.0, 3.0, 1.0, 1.0, 2.0, 2.0]","[158.0, 161.15, 164.3, 167.45, 170.6, 173.75, 176.9, 180.05, 183.2, 186.35, 189.5, 192.65, 195.8, 198.95, 202.1, 205.25, 208.4, 211.55, 214.7, 217.85, 221.0]",1,1.2154772593123163e-07,4.527260753110371,6.0653529186196575,0.6911803611918851,11.3,1.1771218087372437,0.641744988421368,5.06997262249236,21.787179648007704,8.79409796701402,6.866494464482479,29.507368104127405,11.910246762029608
21,LNGS,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,119.324,"[1.0, 1.0, 1.0, 5.0, 2.0, 7.0, 3.0, 6.0, 15.0, 6.0, 13.0, 4.0, 11.0, 10.0, 7.0, 3.0, 2.0, 0.0, 2.0, 1.0]","[1109.0, 1117.35, 1125.7, 1134.05, 1142.4, 1150.75, 1159.1, 1167.45, 1175.8, 1184.15, 1192.5, 1200.85, 1209.2, 1217.55, 1225.9, 1234.25, 1242.6, 1250.95, 1259.3, 1267.65, 1276.0]",10,7.728225528330728e-08,2.8785147445203907,5.819245021109961,0.44507246368218795,7.6,1.2399648338722673,0.6812952668038894,4.939825787343249,21.227900005069635,8.568352365682655,6.664209346013668,28.638088811247922,11.559374029267346
22,LNGS,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,596.62,"[1.0, 1.0, 1.0, 5.0, 2.0, 7.0, 3.0, 6.0, 15.0, 6.0, 13.0, 4.0, 11.0, 10.0, 7.0, 3.0, 2.0, 0.0, 2.0, 1.0]","[1109.0, 1117.35, 1125.7, 1134.05, 1142.4, 1150.75, 1159.1, 1167.45, 1175.8, 1184.15, 1192.5, 1200.85, 1209.2, 1217.55, 1225.9, 1234.25, 1242.6, 1250.95, 1259.3, 1267.65, 1276.0]",2,3.8641127641653655e-07,14.392573722601957,7.537945677325979,2.163773119898206,28.7,0.9865105091795897,0.5287258612339801,5.5381594973447035,23.79911783994075,9.606189382666994,7.564862533269134,32.50846331864303,13.12159792134319
23,LNGS,LightOnly,All LXe, 1400 ,  4600 ,0.8138945100000002,596.62,"[1.0, 1.0, 1.0, 5.0, 2.0, 7.0, 3.0, 6.0, 15.0, 6.0, 13.0, 4.0, 11.0, 10.0, 7.0, 3.0, 2.0, 0.0, 2.0, 1.0]","[1109.0, 1117.35, 1125.7, 1134.05, 1142.4, 1150.75, 1159.1, 1167.45, 1175.8, 1184.15, 1192.5, 1200.85, 1209.2, 1217.55, 1225.9, 1234.25, 1242.6, 1250.95, 1259.3, 1267.65, 1276.0]",2,3.8641127641653655e-07,14.392573722601957,7.537945677325979,2.163773119898206,28.7,0.9865105091795897,0.5287258612339801,5.5381594973447035,23.79911783994075,9.606189382666994,7.564862533269134,32.50846331864303,13.12159792134319
